,Category,Team,Team_score
0,Points,Phoenix Suns,131
1,Points,Milwaukee Bucks,130
2,Points,Sacramento Kings,129
3,Points,Utah Jazz,128
4,Points,Philadelphia 76ers,126
5,Rebounds,Denver Nuggets,51
6,Rebounds,Detroit Pistons,51
7,Rebounds,Milwaukee Bucks,49
8,Rebounds,New York Knicks,48
9,Rebounds,Portland Trail Blazers,48
10,Assists,Denver Nuggets,37
11,Assists,Phoenix Suns,35
12,Assists,New Orleans Pelicans,33
13,Assists,San Antonio Spurs,33
14,Assists,Milwaukee Bucks,32
15,Blocks,Utah Jazz,10
16,Blocks,LA Clippers,7
17,Blocks,Milwaukee Bucks,7
18,Blocks,Orlando Magic,7
19,Blocks,Cleveland Cavaliers,6
20,Steals,Los Angeles Lakers,11
21,Steals,Portland Trail Blazers,11
22,Steals,Chicago Bulls,10
23,Steals,LA Clippers,10
24,Steals,Sacramento Kings,10
25,Field Goal Percentage,Milwaukee Bucks,55.1
26,Field Goal Percentage,Sacramento Kings,54.1
27,Field Goal Percentage,Phoenix Suns,52.3
28,Field Goal Percentage,New Orleans Pelicans,52.3
29,Field Goal Percentage,Cleveland Cavaliers,51.2
30,Three Pointers Made,Milwaukee Bucks,22
31,Three Pointers Made,Phoenix Suns,18
32,Three Pointers Made,Sacramento Kings,18
33,Three Pointers Made,Boston Celtics,16
34,Three Pointers Made,New York Knicks,16
35,Three Point Percentage,Phoenix Suns,54.5
36,Three Point Percentage,New Orleans Pelicans,52.2
37,Three Point Percentage,Milwaukee Bucks,48.9
38,Three Point Percentage,Utah Jazz,44.4
39,Three Point Percentage,Philadelphia 76ers,43.3
40,Free Throw Percentage,Philadelphia 76ers,96.4
41,Free Throw Percentage,Washington Wizards,93.8
42,Free Throw Percentage,Boston Celtics,88.9
43,Free Throw Percentage,Phoenix Suns,88.5
44,Free Throw Percentage,Detroit Pistons,86.7
